"source","id","lon","lat"
"gt","AshokVihar_DPCC",77.181665,28.695381
"gt","AyaNagar_IMD",77.1099364,28.4706914
"gt","BurariCrossing_IMD",77.2011573,28.7256504
"gt","CRRIMathuraRoad_IMD",77.2735737,28.5512005
"gt","DTU_CPCB",77.1112615,28.7500499
"gt","DwarkaSector8_DPCC",77.0719006,28.5710274
"gt","IGIAirport_IMD",77.1180053,28.5627763
"gt","IHBAS_CPCB",77.3025234,28.6811736
"gt","ITO_CPCB",77.2494387,28.6316945
"gt","Jahangirpuri_DPCC",77.170633,28.73282
"gt","JNS_DPCC",77.233829,28.58028
"gt","LodhiRoad_IMD",77.2273074,28.5918245
"gt","MandirMarg_DPCC",77.201067,28.636429
"gt","MDCNS_DPCC",77.237738,28.611281
"gt","Mundaka_DPCC",77.076574,28.684678
"gt","NSIT_CPCB",77.0325413,28.60909
"gt","OkhlaPhase2_DPCC",77.271255,28.530785
"gt","PunjabiBagh_DPCC",77.131023,28.674045
"gt","Pusa_DPCC",77.146262,28.639645
"gt","Pusa_IMD",77.146263,28.639645
"gt","RKPuram_DPCC",77.186937,28.563262
"gt","Shadipur_CPCB",77.1473105,28.6514781
"gt","Sirifort_CPCB",77.2159377,28.5504249
"gt","SriAurobindoMarg_DPCC",77.190156,28.531346
"gt","VivekVihar_DPCC",77.31526,28.672342
"gt","AnandVihar_DPCC",77.316032,28.646835
"gt","DKSSR_DPCC",77.26484,28.498571
"gt","NehruNagar_DPCC",77.250515,28.56789
"gt","Patparganj_DPCC",77.287205,28.623748
"gt","Rohini_DPCC",77.11992,28.732528
"gt","SoniaVihar_DPCC",77.249485,28.710508
"gt","Wazirpur_DPCC",77.165453,28.699793
